1 1 46311.6 8.74 0.994167 0
1 2 49289.3 0.82 0.996667 0
1 3 49282.5 0.16 0.998889 0
1 4 49291.6 0.17 1.001111 0
1 5 49275.4 0.21 1.004167 0
1 6 49269.3 0.18 1.006944 0
1 7 49258.1 0.21 1.009722 0
1 8 49216.3 0.23 1.011667 0
1 9 49211.2 0.17 1.014167 0
1 10 49211.7 0.23 1.017778 0
1 11 49211.0 0.22 1.020000 0
1 12 49224.8 0.20 1.022222 0
1 13 49197.6 0.24 1.024444 0
1 14 49159.1 0.23 1.026667 0
1 15 49163.2 0.22 1.028333 0
1 16 49150.5 0.21 1.030556 0
1 17 49142.3 0.23 1.033333 0
1 18 49139.9 0.21 1.035000 0
1 19 49149.4 0.19 1.037222 0
1 20 49142.0 0.20 1.039167 0
1 21 49142.3 0.18 1.040833 0
1 22 49134.8 0.18 1.042500 0
1 23 49133.4 0.15 1.044444 0
1 24 49126.8 0.16 1.045833 0
1 25 49121.8 0.19 1.048333 0
1 26 49119.8 0.16 1.050000 0
1 27 49110.4 0.17 1.052222 0
1 28 49096.6 0.15 1.053889 0
1 29 49056.2 0.16 1.055833 0
1 30 49032.9 0.17 1.057500 0
1 31 48991.4 0.18 1.060000 0
2 1 44897.9 9.63 1.126389 0
2 2 49328.5 4.36 1.129167 0
2 3 49309.9 0.14 1.131389 0
2 4 49296.0 0.15 1.135278 0
2 5 49293.3 0.15 1.137500 0
2 6 49293.9 0.17 1.139444 0
2 7 49289.7 0.15 1.141111 0
2 8 49277.8 0.16 1.143611 0
2 9 49270.9 0.16 1.145833 0
2 10 49267.4 0.16 1.149167 0
2 11 49265.8 0.15 1.151389 0
2 12 49262.5 0.14 1.153333 0
2 13 49256.3 0.14 1.156389 0
2 14 49251.0 0.14 1.158056 0
2 15 49242.2 0.14 1.160556 0
2 16 49236.9 0.15 1.162500 0
2 17 49230.7 0.16 1.164167 0
2 18 49224.9 0.15 1.166111 0
2 19 49217.5 0.15 1.168056 0
2 20 49207.4 0.16 1.170833 0
2 21 49201.5 0.18 1.173056 0
2 22 49202.5 0.17 1.175278 0
2 23 49195.9 0.22 1.178333 0
2 24 49187.2 0.22 1.180833 0
2 25 49177.0 0.23 1.182778 0
2 26 49160.8 0.21 1.184722 0
2 27 49151.5 0.20 1.186944 0
2 28 49144.7 0.18 1.188611 0
2 29 49129.3 0.20 1.191111 0
2 30 49103.9 0.21 1.193611 0
2 31 49081.4 0.23 1.195833 0
3 1 49474.0 1.00 1.258056 0
3 2 49355.3 0.16 1.260556 0
3 3 49316.3 0.15 1.263889 0
3 4 49285.7 0.14 1.266111 0
3 5 49285.1 0.14 1.268333 0
3 6 49289.0 0.14 1.270000 0
3 7 49287.6 0.14 1.272778 0
3 8 49281.6 0.14 1.275556 0
3 9 49278.1 0.13 1.277778 0
3 10 49273.7 0.17 1.280833 0
3 11 49270.1 0.18 1.283056 0
3 12 49265.4 0.15 1.285000 0
3 13 49260.8 0.16 1.286944 0
3 14 49256.8 0.16 1.288611 0
3 15 49251.6 0.18 1.290278 0
3 16 49244.6 0.16 1.292222 0
3 17 49239.2 0.15 1.293889 0
3 18 49232.9 0.18 1.295833 0
3 19 49229.0 0.18 1.297500 0
3 20 49222.8 0.16 1.299167 0
3 21 49216.5 0.19 1.300833 0
3 22 49208.0 0.16 1.302778 0
3 23 49201.6 0.19 1.304722 0
3 24 49195.4 0.22 1.310556 0
3 25 49187.6 0.22 1.312500 0
3 26 49173.8 0.19 1.314167 0
3 27 49164.5 0.21 1.316111 0
3 28 49159.4 0.19 1.318056 0
3 29 49147.3 0.16 1.320556 0
3 30 49130.7 0.17 1.322222 0
3 31 49114.4 0.17 1.324167 0
4 1 48812.8 3.66 1.384444 0
4 2 49313.2 0.31 1.386667 0
4 3 49307.8 0.16 1.388889 0
4 4 49299.6 0.15 1.392222 0
4 5 49298.7 0.18 1.394444 0
4 6 49282.1 0.14 1.397222 0
4 7 49221.3 0.70 1.399444 0
4 8 49291.4 0.18 1.403889 0
4 9 49275.2 0.17 1.406389 0
4 10 49267.4 0.14 1.408056 0
4 11 49267.3 0.16 1.411667 0
4 12 49265.4 0.18 1.414722 0
4 13 49262.6 0.16 1.416667 0
4 14 49256.9 0.14 1.419444 0
4 15 49251.3 0.13 1.421389 0
4 16 49246.5 0.14 1.423333 0
4 17 49240.1 0.14 1.425278 0
4 18 49233.7 0.14 1.427222 0
4 19 49227.6 0.14 1.429444 0
4 20 49221.9 0.14 1.431111 0
4 21 49215.3 0.14 1.432778 0
4 22 49209.1 0.14 1.435000 0
4 23 49201.0 0.14 1.437500 0
4 24 49193.5 0.13 1.439722 0
4 25 49184.6 0.13 1.441389 0
4 26 49176.3 0.14 1.443056 0
